Title,Date,Blurb
"54th state House candidates weigh in on opioid crisis, school safety","Wednesday, May 02, 2018, by Emily Balser",Here's where candidates in the 54th state House primary stand on the opioid crisis and gun control: What do you think needs to be done to address the opioid crisis Robert Bertha (D-West Deer): He supports having more funding for treatment facilities as well as fostering more community outreach programs ...
Shaler Area hosting Town Hall meeting on opioid crisis,"Monday, Apr 09, 2018, by Tribune-Review","Shaler Area School District will host its second annual Opioid Epidemic Community Town Hall Meeting to address substance use and mental wellness April 19, from 6-9 p.m. at the Shaler Area High School, 381 Wible Run Road. The event will address the growing opioid epidemic and provide information on warning ..."
Westmoreland County files lawsuit to recoup money lost to opioid crisis,"Friday, Dec 15, 2017, by Rich Cholodofsky","Westmoreland County on Friday filed a sweeping lawsuit against major U.S. drug manufacturers in an effort to recoup money it lost as a result of the crippling opioid crisis that has led to a record number of fatal overdoses. The lawsuit, which was first proposed last month, was filed in ..."
ADA wants dentists to curb prescribing opioids,"Monday, Mar 26, 2018, by The Associated Press","CHICAGO — The American Dental Association wants dentists to drastically cut back on prescribing opioid painkillers. The association announced a new policy Monday that 'essentially says eliminate opioids from your arsenal if at all possible,' said Dr. Joseph Crowley, the group's president. The Chicago-based group represents around 161,000 dentists. The ..."
Local TV special will delve into opioids in Western Pennsylvania,"Friday, Jun 29, 2018, by Patrick Varine","A former WPXI news producer, Sydni Goldman is deeply familiar with the heavy toll the opioid epidemic has taken on Western Pennsylvania. 'I remember when fentanyl started coming in, and when that was really hitting the area hard,' Goldman said. 'It's still such a big topic that affects so many ..."
Coraopolis woman gets 25 months in prison for role in prescription opioid drug ring,"Tuesday, May 15, 2018, by Natasha Lindstrom","A Coraopolis woman has been sentenced to 25 months in prison for her role in a far-reaching prescription opioid drug ring, U.S. Attorney Scott W. Brady said Tuesday. Chani Watkins, 26, was convicted of conspiring to acquire and sell opioid painkillers, including oxycodone and oxymorphone — highly addictive medications contributing ..."
"Chronic back, knee, hip pain? Study shows opioids no better than Tylenol","Tuesday, Mar 06, 2018, by The Associated Press","CHICAGO — A yearlong study offers rigorous new evidence against using prescription opioids for chronic pain. In patients with stubborn back aches or hip or knee arthritis, opioids worked no better than over-the-counter drugs or other nonopioids at reducing problems with walking or sleeping. And they provided slightly less pain ..."
"California doctor, assistant accused of 3-year conspiracy to sell illegal opioids","Monday, Jul 23, 2018, by Natasha Lindstrom","A federal grand jury in Pittsburgh has accused a California doctor and his assistant of plotting to distribute illegal opioid painkillers, cheat the health care system and launder money in a scheme dating to three years ago, officials said Monday. Dr. Paul Michael Hoover, 57, and Marcia Ramsier Arthurs, 60 ..."
Authorities in Westmoreland continue hunt for solution to opioid epidemic,"Friday, Feb 24, 2017, by Renatta Signorini","As a nationwide opioid addiction epidemic takes lives at every age and in every demographic, Westmoreland County officials are looking to young students as part of the solution. Three upcoming prevention-related events for students focus on in-school education to address the problem. 'We want to get a young person's perspective ..."
"Programs treat opioid addiction as illness, not crime","Sunday, Dec 31, 2017, by Renatta Signorini and Debra Erdley",Editor's note: This is the second part of a look at the opioid crisis in the region. There were no candlelight vigils or memorial photo slide shows for the victims of drug overdoses 10 years ago. Options for addiction treatment were few and far between in Westmoreland County and drug ...
"Allegheny County, Pittsburgh sue 8 opioid manufacturers, distributors","Tuesday, May 15, 2018, by Theresa Clift and Megan Guza","Allegheny County and the City of Pittsburgh on Tuesday filed a lawsuit against eight pharmaceutical companies that make opioids in an effort to recoup money lost to a drug crisis officials say was spurred by unchecked prescribing practices. The lawsuits, filed in the Court of Common Pleas of Allegheny County, ..."
Shaler Area schools battling opioid addiction with presentation,"Tuesday, Jan 17, 2017, by Rachel Farkas","Shaler Area School District and its municipalities are teaming up to educate high school students on the dangers of opioid addiction. Thanks to financial support from Shaler, Millvale, Etna and Reserve, the school district is bringing Saltworks Theatre Company's 'Off Script' play to the high school. The performance brings awareness ..."
Allegheny County Health Department gets $350K grant to combat opioid crisis,"Tuesday, May 29, 2018, by Theresa Clift","The Hillman Foundation has given a $350,000 grant to the Allegheny County Health Department to help fund the department's outreach in communities affected by the opioid crisis. The funds will be used to conduct in-depth interviews to help come up with intervention strategies, and some will be given out as ..."
ADA wants dentists to curb prescribing opioids,"Monday, Mar 26, 2018, by The Associated Press","CHICAGO — The American Dental Association wants dentists to drastically cut back on prescribing opioid painkillers. The association announced a new policy Monday that 'essentially says eliminate opioids from your arsenal if at all possible,' said Dr. Joseph Crowley, the group's president. The Chicago-based group represents around 161,000 dentists. The ..."
Local TV special will delve into opioids in Western Pennsylvania,"Friday, Jun 29, 2018, by Patrick Varine","A former WPXI news producer, Sydni Goldman is deeply familiar with the heavy toll the opioid epidemic has taken on Western Pennsylvania. 'I remember when fentanyl started coming in, and when that was really hitting the area hard,' Goldman said. 'It's still such a big topic that affects so many ..."
Coraopolis woman gets 25 months in prison for role in prescription opioid drug ring,"Tuesday, May 15, 2018, by Natasha Lindstrom","A Coraopolis woman has been sentenced to 25 months in prison for her role in a far-reaching prescription opioid drug ring, U.S. Attorney Scott W. Brady said Tuesday. Chani Watkins, 26, was convicted of conspiring to acquire and sell opioid painkillers, including oxycodone and oxymorphone — highly addictive medications contributing ..."
"Chronic back, knee, hip pain? Study shows opioids no better than Tylenol","Tuesday, Mar 06, 2018, by The Associated Press","CHICAGO — A yearlong study offers rigorous new evidence against using prescription opioids for chronic pain. In patients with stubborn back aches or hip or knee arthritis, opioids worked no better than over-the-counter drugs or other nonopioids at reducing problems with walking or sleeping. And they provided slightly less pain ..."
"California doctor, assistant accused of 3-year conspiracy to sell illegal opioids","Monday, Jul 23, 2018, by Natasha Lindstrom","A federal grand jury in Pittsburgh has accused a California doctor and his assistant of plotting to distribute illegal opioid painkillers, cheat the health care system and launder money in a scheme dating to three years ago, officials said Monday. Dr. Paul Michael Hoover, 57, and Marcia Ramsier Arthurs, 60 ..."
3 Alle-Kiski schools honored for efforts in fight against opioids,"Tuesday, Feb 13, 2018, by Emily Balser","Three Alle-Kiski high schools have been recognized for their work to promote awareness about the opioid crisis. Freeport Area High School, Fox Chapel High School and Leechburg Middle/Senior High School placed first, second and third, respectively, in the people's choice category of the annual FBI Pittsburgh Division's HOPE PSA contest. ..."
Westmoreland County to sue to recoup millions spent on opioid crisis,"Thursday, Nov 16, 2017, by Rich Cholodofsky",Westmoreland County will join a chorus of other county governments in suing drug manufacturers and doctors over the raging opioid epidemic that has resulted in record overdose deaths and increased public spending. County commissioners on Thursday hired two law firms to prepare a lawsuit seeking damages to recover millions of ...
Judge takes on Wal-Mart in opioids fight,"Saturday, Oct 14, 2017, by Stephen Huba","Hardly a sector of society has escaped being touched by the opioid epidemic. But when it comes to large retail chains, the focus has been primarily on pharmacy policies — until now. A Westmoreland County judge has raised an issue that she calls 'the elephant in the room' — fraudulent ..."
Tom Ridge wants USPS to improve screening for opioids in overseas shipments,"Wednesday, Feb 08, 2017, by Tom Fontaine","Former Pennsylvania Gov. Tom Ridge, the nation's first Homeland Security secretary, is calling on the federal government to eliminate a loophole that he says has created a pipeline for opioids to be shipped illegally to the United States. 'I'm beyond surprised that they wouldn't take a more aggressive approach to ..."
Gov. Wolf: Too many roadblocks in state's battle against opioid addiction,"Friday, Jan 13, 2017, by Patrick Varine","Highlands Hospital's recent designation as a state Department of Human Services Center of Excellence for opioid-related substance disorders is a step in the right direction, but many roadblocks remain in Pennsylvania's battle against drugs. 'If I could've brought my daughter somewhere that she could be tested for opioids and forced ..."
3 Alle-Kiski schools honored for efforts in fight against opioids,"Tuesday, Feb 13, 2018, by Emily Balser","Three Alle-Kiski high schools have been recognized for their work to promote awareness about the opioid crisis. Freeport Area High School, Fox Chapel High School and Leechburg Middle/Senior High School placed first, second and third, respectively, in the people's choice category of the annual FBI Pittsburgh Division's HOPE PSA contest. ..."
"Boston-based startup to test wastewater for drug, opioid use","Tuesday, Mar 13, 2018, by Renatta Signorini","A Boston-based startup company that is focused on extracting opioid consumption data from sewage won $10,000 on Sunday during a mayors' conference. Biobot Analytics won the money after a pitch competition judged by mayors from around the country at the South by Southwest Conference in Austin, reported Governing.com. Cities can ..."
Westmoreland County to sue to recoup millions spent on opioid crisis,"Thursday, Nov 16, 2017, by Rich Cholodofsky",Westmoreland County will join a chorus of other county governments in suing drug manufacturers and doctors over the raging opioid epidemic that has resulted in record overdose deaths and increased public spending. County commissioners on Thursday hired two law firms to prepare a lawsuit seeking damages to recover millions of ...
Judge takes on Wal-Mart in opioids fight,"Saturday, Oct 14, 2017, by Stephen Huba","Hardly a sector of society has escaped being touched by the opioid epidemic. But when it comes to large retail chains, the focus has been primarily on pharmacy policies — until now. A Westmoreland County judge has raised an issue that she calls 'the elephant in the room' — fraudulent ..."
Tom Ridge wants USPS to improve screening for opioids in overseas shipments,"Wednesday, Feb 08, 2017, by Tom Fontaine","Former Pennsylvania Gov. Tom Ridge, the nation's first Homeland Security secretary, is calling on the federal government to eliminate a loophole that he says has created a pipeline for opioids to be shipped illegally to the United States. 'I'm beyond surprised that they wouldn't take a more aggressive approach to ..."
North Hill Middle School to host Town Hall discussion of opioid epidemic,"Monday, Mar 12, 2018, by Laurie Rees","It often starts innocently enough with a sports injury or a wisdom tooth extraction. The patient is prescribed an opioid like codeine, hydrodone (Vicodin) or oxycodone (OxyContin) to relieve the pain. However, with just a 10-day supply, one in five of these patients will become addicted according to a study ..."
Excela health to administer Suboxone to opioid patients at emergency departments,"Saturday, Jul 28, 2018, by Renatta Signorini",Excela Health emergency department patients with an opioid addiction can now get a dose of Suboxone before leaving the hospital. Local officials and lawmakers have worked for months to clear the way for a medication-assisted treatment program at all three hospitals which have already adopted other programs to connect people ...
U.S. hospitals grapple with prolonged injected opioid shortage,"Wednesday, Jun 27, 2018, by The Associated Press","TRENTON, N.J. — There is another opioid crisis happening in the United States, and it has nothing to do with the overdose epidemic: Hospitals are frequently running out of widely used injected painkillers. Manufacturing shortages are forcing many doctors and pharmacists to sometimes ration injected opioids, reserving them for the ..."
Carnegie Library of Pittsburgh stocks opioid antidote,"Thursday, Nov 09, 2017, by Renatta Signorini","If an opioid overdose occurs at a Carnegie Library of Pittsburgh facility, trained staff members will be ready. Naloxone, a drug that can reverse the effects of an opioid overdose, is available at the library system's 19 locations after the Allegheny County Health Department trained library staff in how to ..."
North Side prescription opioid dealer gets 5 years for 35th conviction,"Friday, May 18, 2018, by Natasha Lindstrom","A North Side man convicted of his 35th offense will spend five years behind bars for his role in an illegal drug ring that trafficked prescription opioid pills in greater Pittsburgh, federal prosecutors said. Jeremiah Davidson, 62, of the Manchester section of Pittsburgh's North Side, was convicted of health care ..."
"Partnership aims to better track, forecast Pennsylvania opioid epidemic","Tuesday, Mar 27, 2018, by Megan Guza","A partnership announced Tuesday between the state and the University of Pittsburgh will allow researchers to use data to forecast the shape of the opioid epidemic, including what's working, what's ineffective and how many more deaths Pennsylvania might endure. The Aetna Foundation will fund the partnership with a $1 million ..."
Pennsylvania attorney general pledges opioid crisis help through drug company probe,"Wednesday, Jan 17, 2018, by Renatta Signorini","Pennsylvania Attorney General Josh Shapiro hopes to alter the corporate behavior of opioid manufacturers and distributors that are under investigation for allegedly pumping pills into communities. Shapiro is part of a multi-state investigation that he believes 'will be successful,' he told a group Wednesday at Westmoreland County Community College. 'I ..."
Jury out on whether Westmoreland County can recoup opioid epidemic costs from drug companies,"Friday, Nov 17, 2017, by Renatta Signorini","While large settlements in lawsuits against tobacco companies in the 1990s laid out a blueprint, it's unclear if similar, present-day suits against the pharmaceutical industry amidst a deadly opioid epidemic — including one planned by Westmoreland County — will play out that way. In 1998, the tobacco industry paid $200 ..."
Panel says cooperation needed to fight opioid epidemic,"Tuesday, Jan 24, 2017, by Joe Napsha","A concerted effort is needed among physicians, medical schools, pharmacies, law enforcement and state government to combat Pennsylvania's growing opioid abuse problem, which remains its biggest public health crisis, the state's physician general said Tuesday. 'It's a crisis in Pennsylvania and in the nation. It's a public safety issue' as ..."
"Agents with special opioid unit raid medical offices in Irwin, Hempfield","Thursday, Oct 26, 2017, by Joe Napsha","State and federal agents working as part of an opioid fraud and abuse detection unit raided two medical offices in Irwin and Hempfield on Thursday, the U.S. Attorney's Office in Pittsburgh said. About 20 agents from the FBI, the Drug Enforcement Agency, Department of Health and Human Services and the ..."
"Boston-based startup to test wastewater for drug, opioid use","Tuesday, Mar 13, 2018, by Renatta Signorini","A Boston-based startup company that is focused on extracting opioid consumption data from sewage won $10,000 on Sunday during a mayors' conference. Biobot Analytics won the money after a pitch competition judged by mayors from around the country at the South by Southwest Conference in Austin, reported Governing.com. Cities can ..."
Hampton hosting roundtable on opioid epidemic,"Tuesday, Jan 09, 2018, by Natalie Beneviat","A new opioid partnership has been established in Hampton Township, and it's kicking off its first roundtable summit Jan. 18 with several keynote speakers and an informative insight into this widespread epidemic. The free event is open to the public and will begin at 7 p.m. at the township community ..."
Pittsburgh dentist accused of illegally prescribing opioids,"Thursday, Nov 02, 2017, by Megan Guza","A federal grand jury on Thursday handed down a 200-count indictment against a dentist in Pittsburgh's Allentown, alleging he illegally prescribed opioid painkillers for more than a year and a half. Daniel Garner, 45, of Monroeville, allegedly distributed Hydrocodone and Oxycodone at least 196 times between November 2012 and June ..."
Authorities in Westmoreland continue hunt for solution to opioid epidemic,"Friday, Feb 24, 2017, by Renatta Signorini","As a nationwide opioid addiction epidemic takes lives at every age and in every demographic, Westmoreland County officials are looking to young students as part of the solution. Three upcoming prevention-related events for students focus on in-school education to address the problem. 'We want to get a young person's perspective ..."
Dr. Gene Battistella: Pending bills could impact patient care in Pa.,"Wednesday, Oct 03, 2018, by Dr. Gene Battistella","As an osteopathic physician who has been practicing in Pittsburgh for over 20 years, I have learned that there is no magic prescription that can relieve a patient's pain or provide complete relief from an ailment. In fact, the foundation for osteopathic medicine rests in the comprehensive evaluation and treatment ..."
Opioid crisis: Drugs increasingly ravaging communities across Allegheny County,"Thursday, Oct 26, 2017, by Renatta Signorini","Drug overdose deaths have deluged Allegheny County communities that historically have not been considered high-crime or impoverished areas, Dr. Karen Hacker, the health department director, said Thursday. Officials have seen a shift toward increasing deaths in Shaler, Etna, Millvale and other areas since 2014, Hacker told about 100 participants at ..."
Opioid epidemic worries K-9 handlers,"Thursday, Jun 01, 2017, by Renatta Signorini","Derry K-9 Blade was instrumental in sniffing out a large shipment of heroin in a vehicle on Route 22 in September, just as he was trained to do. But his handler, Chief Randy Glick, said it's scary that the 10-year-old Dutch shepherd could have inhaled a deadly substance in the ..."
"Opioid treatment rates on the rise in Armstrong County, deaths declining","Wednesday, Aug 22, 2018, by Wes Venteicher","Hospital and nonprofit leaders in Armstrong County shared details of a program with Gov. Tom Wolf on Wednesday that they say has dramatically boosted the number of overdose victims who seek treatment. So far this year, 88 percent of overdose victims assessed at the ACMH Hospital went into treatment directly ..."
"Financial advisers should help clients with opioid problems, state agency says","Wednesday, Jan 24, 2018, by Brian Bowling","A client who suddenly demands money from retirement savings or home equity lines could be struggling with an opioid addiction or under the control of someone who's addicted, the state Banking and Securities Department says in a new guide for financial advisers. An InvestmentNews survey of more than 400 advisers ..."
Puppy that collapsed after ingesting opioid revived with naloxone,"Thursday, Oct 26, 2017, by The Associated Press","ANDOVER, Mass. — A puppy that collapsed after ingesting some sort of opioid in Massachusetts has survived after being given an overdose reversal drug more often administered to humans. Peter Thibault tells The Eagle-Tribune he was walking his 3-month-old yellow Labrador named Zoey in Andover last week when the dog ..."
"Wolf renews opioid disaster declaration, eyes legislation to declare public health emergency","Wednesday, Apr 04, 2018, by Megan Guza","Citing the success of several initiatives in the first 90 days, Gov. Tom Wolf on Wednesday renewed his statewide opioid disaster declaration and announced that legislation is in progress that would allow the state Secretary of Health of declare the epidemic a public health emergency. 'We have made real progress ..."
Pennsylvania Gov. Tom Wolf announces $26M grant to fight opioids,"Wednesday, Apr 25, 2018, by Matthew Medsger","Gov. Tom Wolf announced Wednesday that the state has been granted $26.2 million to help in the fight against opioids. Known as a State Targeted Response to the Opioid Crisis Grant and issued through the federal 21st Century Cures Act, this is the second year in a row that the ..."
House bill designed to further restrict opioid access,"Tuesday, Jun 06, 2017, by Kevin Zwick",A bill in the Pennsylvania House aims to combat the rising opioid addiction epidemic by requiring doctors to transmit prescriptions electronically. The House Health Committee on Tuesday unanimously approved the legislation. It would undo a law from the 1990s that allowed prescriptions for opioids — narcotic painkillers — to be ...
Pennsylvania Gov. Tom Wolf declares opioid crisis a public health disaster,"Wednesday, Jan 10, 2018, by Ben Schmitt","Gov. Tom Wolf took unprecedented action Wednesday in issuing a disaster declaration to combat the heroin and opioid epidemic devastating Pennsylvania families on a daily basis. The public health declaration is the first of its kind in the state, officials said. 'I do not take this action lightly, but we ..."
Pennsylvania activists call for needle exchanges during opioid epidemic,"Friday, Jan 12, 2018, by Debra Erdley","A statewide group of public health activists Friday called on Pennsylvania lawmakers to expand their reaction to the opioid epidemic to include support for needle exchange programs. Gov. Tom Wolf this week declared the opioid epidemic a public health disaster, a move that will relax some regulations for addiction treatment ..."
College students step up to help save lives amid opioid overdose crisis,"Saturday, Oct 01, 2016, by Debra Erdley","Underclassmen, graduate students and staffers from across Indiana University of Pennsylvania's sprawling campus crowded into a small training room down the hall from the school's office of behavioral health. Their goal: learn how to recognize a drug overdose and administer naloxone, an opioid antidote that can save the lives of ..."
Dozens arrested in takedown of multistate opioid distribution network,"Tuesday, Apr 17, 2018, by Wire Reports","Dozens of people were arrested Tuesday in a major drug trafficking sweep in Huntington, W.Va., a city hit hard by the opioid epidemic. U.S. Attorney Mike Stuart said more than 200 federal, state and local law enforcement officers targeted nearly 100 people for arrests aimed at dismantling a multi-state distribution ..."
Pennsylvania activists call for needle exchanges during opioid epidemic,"Friday, Jan 12, 2018, by Debra Erdley","A statewide group of public health activists Friday called on Pennsylvania lawmakers to expand their reaction to the opioid epidemic to include support for needle exchange programs. Gov. Tom Wolf this week declared the opioid epidemic a public health disaster, a move that will relax some regulations for addiction treatment ..."
House bill designed to further restrict opioid access,"Tuesday, Jun 06, 2017, by Kevin Zwick",A bill in the Pennsylvania House aims to combat the rising opioid addiction epidemic by requiring doctors to transmit prescriptions electronically. The House Health Committee on Tuesday unanimously approved the legislation. It would undo a law from the 1990s that allowed prescriptions for opioids — narcotic painkillers — to be ...
Pennsylvania Gov. Tom Wolf announces $26M grant to fight opioids,"Wednesday, Apr 25, 2018, by Matthew Medsger","Gov. Tom Wolf announced Wednesday that the state has been granted $26.2 million to help in the fight against opioids. Known as a State Targeted Response to the Opioid Crisis Grant and issued through the federal 21st Century Cures Act, this is the second year in a row that the ..."
Will opioid declaration save lives? Western Pennsylvania awaits answers,"Thursday, Oct 26, 2017, by Renatta Signorini","The nation's deadly opioid epidemic now officially is a public health emergency, and Allegheny and Westmoreland officials are hopeful but skeptical more help is on the way for those struggling with drug addiction. Some at the forefront said President Trump's announcement is a slow response to a years-long problem that ..."
